,source,target,type
0,0,0,type1
1,0,2,type1
2,0,3,type1
3,0,5,type1
4,0,6,type1
5,8,7,type1
6,10,9,type1
7,0,9,type1
8,11,9,type1
9,7,7,type1
10,12,7,type1
11,0,7,type1
12,13,13,type1
13,14,13,type1
14,17,7,type1
15,18,13,type1
16,17,13,type1
17,19,13,type1
18,19,13,type1
19,20,13,type1
20,21,13,type1
21,22,7,type1
22,24,0,type1
23,0,15,type1
24,25,7,type1
25,26,13,type1
26,27,13,type1
27,28,7,type1
28,28,26,type1
29,29,26,type1
30,29,16,type1
31,30,9,type1
32,30,9,type1
33,30,7,type1
34,32,13,type1
35,33,3,type1
36,34,26,type1
37,34,13,type1
38,34,32,type1
39,35,7,type1
40,34,7,type1
41,34,32,type1
42,36,7,type1
43,37,32,type1
44,38,7,type1
45,40,32,type1
46,0,39,type1
47,0,38,type1
48,45,32,type1
49,34,44,type1
50,44,46,type1
51,48,2,type1
52,51,39,type1
53,51,26,type1
54,49,32,type1
55,51,7,type1
56,49,9,type1
57,51,32,type1
58,53,52,type1
59,53,46,type1
60,58,55,type1
61,58,54,type1
62,61,46,type1
63,46,61,type1
64,46,26,type1
65,61,52,type1
66,65,61,type1
67,0,63,type1
68,0,56,type1
69,67,66,type1
70,67,65,type1
71,56,65,type1
72,68,66,type1
73,68,65,type1
74,70,68,type1
75,70,62,type1
76,70,58,type1
77,68,57,type1
78,70,41,type1
79,68,13,type1
80,73,69,type1
81,72,46,type1
82,74,72,type1
83,75,65,type1
84,75,66,type1
85,75,62,type1
86,76,75,type1
87,80,63,type1
88,1,31,type1
89,80,1,type1
90,4,63,type1
91,29,79,type1
92,29,77,type1
93,83,82,type1
94,84,84,type1
95,84,31,type1
96,85,84,type1
97,86,86,type1
98,86,23,type1
99,0,87,type1
100,88,61,type1
101,88,86,type1
102,88,41,type1
103,45,78,type1
104,45,38,type1
105,82,82,type1
106,45,82,type1
107,91,69,type1
108,82,82,type1
109,85,89,type1
110,93,89,type1
111,0,63,type1
112,45,87,type1
113,45,87,type1
114,95,31,type1
115,101,31,type1
116,102,31,type1
117,103,95,type1
118,104,85,type1
119,106,98,type1
120,0,105,type1
121,109,94,type1
122,0,100,type1
123,109,90,type1
124,109,81,type1
125,109,110,type1
126,110,104,type1
127,111,110,type1
128,112,31,type1
129,113,97,type1
130,111,92,type1
131,111,86,type1
132,109,114,type1
133,117,110,type1
134,29,99,type1
135,29,116,type1
136,120,115,type1
137,30,119,type1
138,30,116,type1
139,79,79,type1
140,79,32,type1
141,79,13,type1
142,93,79,type1
143,125,115,type1
144,126,121,type1
145,91,125,type1
146,0,124,type1
147,126,31,type1
148,0,122,type1
149,0,63,type1
150,0,115,type1
151,129,31,type1
152,130,100,type1
153,130,127,type1
154,131,100,type1
155,134,100,type1
156,135,100,type1
157,135,31,type1
158,109,119,type1
159,109,128,type1
160,129,82,type1
161,45,82,type1
162,0,125,type1
163,0,133,type1
164,29,93,type1
165,137,31,type1
166,138,125,type1
167,139,100,type1
168,138,5,type1
169,138,100,type1
170,36,127,type1
171,36,93,type1
172,36,93,type1
173,36,128,type1
174,36,119,type1
175,36,88,type1
176,142,125,type1
