,Unnamed: 0,nodes,comment,commentthread,reply,total,group,weight
0,0,110640,22,1,13,36,group1,1
1,1,117467,1,1,3,5,group1,1
2,2,113677,0,1,1,2,group1,1
3,3,34091,0,1,0,1,group1,1
4,4,104584,1,0,1,2,group2,1
5,5,18538,0,1,0,1,group1,1
6,6,112220,0,1,0,1,group1,1
7,7,13254,1,2,0,3,group1,1
8,8,112854,1,0,0,1,group2,1
9,9,443,0,2,1,3,group1,1
10,10,117317,1,0,0,1,group2,1
11,11,112284,1,0,0,1,group2,1
12,12,117646,1,0,0,1,group2,1
13,13,116973,1,1,0,2,group1,1
14,14,117571,1,0,0,1,group2,1
15,15,4383,0,1,0,1,group1,1
16,16,33390,0,1,0,1,group1,1
17,17,117594,2,0,0,2,group2,1
18,18,111930,1,0,0,1,group2,1
19,19,113727,2,0,1,3,group2,1
20,20,117393,1,0,2,3,group2,1
21,21,117399,1,0,2,3,group2,1
22,22,111453,1,0,0,1,group2,1
23,23,111726,0,1,2,3,group1,1
24,24,99247,1,0,0,1,group2,1
25,25,117101,1,0,0,1,group2,1
26,26,118262,1,1,0,2,group1,1
27,27,118605,1,0,0,1,group2,1
28,28,117347,2,0,0,2,group2,1
29,29,110690,7,0,2,9,group2,1
30,30,114030,5,0,3,8,group2,1
31,31,114694,0,1,1,2,group1,1
32,32,116255,1,1,0,2,group1,1
33,33,113467,1,1,0,2,group1,1
34,34,808,6,1,0,7,group1,1
35,35,113162,1,0,0,1,group2,1
36,36,113166,7,1,0,8,group1,1
37,37,108283,1,0,1,2,group2,1
38,38,6396,1,1,1,3,group1,1
39,39,116396,0,1,0,1,group1,1
40,40,115854,1,1,0,2,group1,1
41,41,116405,0,1,0,1,group1,1
42,42,20938,0,0,1,1,group2,1
43,43,111266,0,1,0,1,group1,1
44,44,113890,1,1,0,2,group1,1
45,45,111775,7,0,2,9,group2,1
46,46,113939,2,1,1,4,group1,1
47,47,113142,0,1,2,3,group1,1
48,48,117460,1,0,0,1,group2,1
49,49,113569,2,0,1,3,group2,1
50,50,116706,0,0,3,3,group2,1
51,51,118638,4,0,0,4,group2,1
52,52,112667,0,1,2,3,group1,1
53,53,118824,2,0,0,2,group2,1
54,54,117570,0,1,0,1,group1,1
55,55,111534,0,1,0,1,group1,1
56,56,117539,1,2,1,4,group1,1
57,57,118843,0,1,0,1,group1,1
58,58,118804,2,2,0,4,group1,1
59,59,106594,0,1,0,1,group1,1
60,60,118397,0,0,1,1,group2,1
61,61,112524,2,1,0,3,group1,1
62,62,116932,0,1,0,1,group1,1
63,63,108263,0,4,2,6,group1,1
64,64,118891,0,0,1,1,group2,1
65,65,117499,1,2,0,3,group1,1
66,66,111506,0,1,0,1,group1,1
67,67,111627,2,0,0,2,group2,1
68,68,111495,4,1,3,8,group1,1
69,69,117684,0,1,0,1,group1,1
70,70,112079,4,0,0,4,group2,1
71,71,118823,0,0,1,1,group2,1
72,72,113854,1,1,0,2,group1,1
73,73,112043,1,0,0,1,group2,1
74,74,119269,1,0,0,1,group2,1
75,75,112176,3,1,2,6,group1,1
76,76,112177,1,1,0,2,group1,1
77,77,117617,0,1,0,1,group1,1
78,78,111380,0,1,0,1,group1,1
79,79,115369,3,1,0,4,group1,1
80,80,110667,2,0,0,2,group2,1
81,81,39388,0,1,1,2,group1,1
82,82,116202,2,1,0,3,group1,1
83,83,115445,1,0,0,1,group2,1
84,84,15703,2,1,11,14,group1,1
85,85,112184,2,1,0,3,group1,1
86,86,36521,2,1,1,4,group1,1
87,87,113312,0,2,0,2,group1,1
88,88,117516,3,1,0,4,group1,1
89,89,119447,0,1,0,1,group1,1
90,90,113413,0,1,0,1,group1,1
91,91,110639,2,0,0,2,group2,1
92,92,117111,0,1,0,1,group1,1
93,93,119503,2,2,3,7,group1,1
94,94,105390,0,1,0,1,group1,1
95,95,116421,1,1,0,2,group1,1
96,96,103500,0,1,0,1,group1,1
97,97,118071,0,1,0,1,group1,1
98,98,118070,0,1,0,1,group1,1
99,99,117409,0,2,0,2,group1,1
100,100,117448,0,1,0,1,group1,1
101,101,113930,1,0,0,1,group2,1
102,102,111878,1,0,0,1,group2,1
103,103,111545,1,0,0,1,group2,1
104,104,16572,1,1,2,4,group1,1
105,105,105165,0,1,0,1,group1,1
106,106,120379,1,0,0,1,group2,1
107,107,104503,0,0,3,3,group2,1
108,108,116256,0,0,1,1,group2,1
109,109,110636,7,0,0,7,group2,1
110,110,16319,1,1,2,4,group1,1
111,111,16501,3,0,0,3,group2,1
112,112,120558,1,0,0,1,group2,1
113,113,120554,1,0,0,1,group2,1
114,114,117779,0,1,0,1,group1,1
115,115,524,0,1,0,1,group1,1
116,116,113311,0,1,0,1,group1,1
117,117,17500,1,0,1,2,group2,1
118,118,106324,0,0,2,2,group2,1
119,119,120922,0,1,0,1,group1,1
120,120,115743,1,0,0,1,group2,1
121,121,117518,0,1,0,1,group1,1
122,122,97949,0,1,2,3,group1,1
123,123,112259,0,0,1,1,group2,1
124,124,1210,0,1,0,1,group1,1
125,125,118722,1,2,0,3,group1,1
126,126,117824,2,0,0,2,group2,1
127,127,34527,0,1,0,1,group1,1
128,128,118369,0,1,0,1,group1,1
129,129,119822,2,0,0,2,group2,1
130,130,117375,2,0,0,2,group2,1
131,131,116090,1,0,0,1,group2,1
132,132,118676,0,1,0,1,group1,1
133,133,103489,0,1,0,1,group1,1
134,134,112821,1,0,0,1,group2,1
135,135,4512,2,0,0,2,group2,1
136,136,117482,0,1,0,1,group1,1
137,137,15795,1,0,0,1,group2,1
138,138,34179,3,2,0,5,group1,1
139,139,114806,1,0,0,1,group2,1
140,140,436,0,1,0,1,group1,1
141,141,118784,0,1,0,1,group1,1
142,142,109608,1,0,0,1,group2,1
143,143,110640,0,0,0,0,group2,1
144,144,113677,0,0,0,0,group2,1
145,145,34091,0,0,0,0,group2,1
146,146,18538,0,0,0,0,group2,1
147,147,112220,0,0,0,0,group2,1
148,148,13254,0,0,0,0,group2,1
149,149,443,0,0,0,0,group2,1
150,150,116973,0,0,0,0,group2,1
151,151,112284,0,0,0,0,group2,1
152,152,117594,0,0,0,0,group2,1
153,153,117393,0,0,0,0,group2,1
154,154,117399,0,0,0,0,group2,1
155,155,117571,0,0,0,0,group2,1
156,156,117317,0,0,0,0,group2,1
157,157,4383,0,0,0,0,group2,1
158,158,118262,0,0,0,0,group2,1
159,159,33390,0,0,0,0,group2,1
160,160,110690,0,0,0,0,group2,1
161,161,116255,0,0,0,0,group2,1
162,162,108283,0,0,0,0,group2,1
163,163,112854,0,0,0,0,group2,1
164,164,116396,0,0,0,0,group2,1
165,165,6396,0,0,0,0,group2,1
166,166,99247,0,0,0,0,group2,1
167,167,113467,0,0,0,0,group2,1
168,168,114030,0,0,0,0,group2,1
169,169,113890,0,0,0,0,group2,1
170,170,113939,0,0,0,0,group2,1
171,171,808,0,0,0,0,group2,1
172,172,112667,0,0,0,0,group2,1
173,173,118824,0,0,0,0,group2,1
174,174,111534,0,0,0,0,group2,1
175,175,117570,0,0,0,0,group2,1
176,176,118804,0,0,0,0,group2,1
177,177,112524,0,0,0,0,group2,1
178,178,108263,0,0,0,0,group2,1
179,179,117539,0,0,0,0,group2,1
180,180,111506,0,0,0,0,group2,1
181,181,117499,0,0,0,0,group2,1
182,182,111627,0,0,0,0,group2,1
183,183,111495,0,0,0,0,group2,1
184,184,116932,0,0,0,0,group2,1
185,185,118843,0,0,0,0,group2,1
186,186,116405,0,0,0,0,group2,1
187,187,117684,0,0,0,0,group2,1
188,188,113854,0,0,0,0,group2,1
189,189,112176,0,0,0,0,group2,1
190,190,114694,0,0,0,0,group2,1
191,191,117467,0,0,0,0,group2,1
192,192,110667,0,0,0,0,group2,1
193,193,115369,0,0,0,0,group2,1
194,194,117617,0,0,0,0,group2,1
195,195,116202,0,0,0,0,group2,1
196,196,15703,0,0,0,0,group2,1
197,197,112079,0,0,0,0,group2,1
198,198,118638,0,0,0,0,group2,1
199,199,36521,0,0,0,0,group2,1
200,200,111726,0,0,0,0,group2,1
201,201,113312,0,0,0,0,group2,1
202,202,111380,0,0,0,0,group2,1
203,203,117516,0,0,0,0,group2,1
204,204,119447,0,0,0,0,group2,1
205,205,111775,0,0,0,0,group2,1
206,206,116421,0,0,0,0,group2,1
207,207,112184,0,0,0,0,group2,1
208,208,118070,0,0,0,0,group2,1
209,209,105165,0,0,0,0,group2,1
210,210,111930,0,0,0,0,group2,1
211,211,120379,0,0,0,0,group2,1
212,212,113727,0,0,0,0,group2,1
213,213,105390,0,0,0,0,group2,1
214,214,117448,0,0,0,0,group2,1
215,215,113413,0,0,0,0,group2,1
216,216,39388,0,0,0,0,group2,1
217,217,16319,0,0,0,0,group2,1
218,218,16572,0,0,0,0,group2,1
219,219,118071,0,0,0,0,group2,1
220,220,117111,0,0,0,0,group2,1
221,221,111878,0,0,0,0,group2,1
222,222,117779,0,0,0,0,group2,1
223,223,112177,0,0,0,0,group2,1
224,224,16501,0,0,0,0,group2,1
225,225,117409,0,0,0,0,group2,1
226,226,113311,0,0,0,0,group2,1
227,227,524,0,0,0,0,group2,1
228,228,120922,0,0,0,0,group2,1
229,229,120558,0,0,0,0,group2,1
230,230,113930,0,0,0,0,group2,1
231,231,117518,0,0,0,0,group2,1
232,232,118722,0,0,0,0,group2,1
233,233,1210,0,0,0,0,group2,1
234,234,97949,0,0,0,0,group2,1
235,235,115445,0,0,0,0,group2,1
236,236,34527,0,0,0,0,group2,1
237,237,118369,0,0,0,0,group2,1
238,238,117375,0,0,0,0,group2,1
239,239,103489,0,0,0,0,group2,1
240,240,119503,0,0,0,0,group2,1
241,241,120554,0,0,0,0,group2,1
242,242,113166,0,0,0,0,group2,1
